sku,code,gtin,name,brand,color,model,price,sizes,errors,images,season,made_in,category,feed_name,department,product_id,season_year,color_original,made_in_original,category_original,materials_original,department_original,unit_system_name_original,year,collection,dimensions,collection_original,title,sizes_raw,season_raw,description,size_system,category_item,season_display,sizes_original,vendor_product_id,lens_all_matches,lens_brand_matches,_missing_fields,_has_images,_image_count
I30002X-LUCK19.50069,I30002X-LUCK19.50069,"[""8059770586636"",""8059770586773"",""8059770586919"",""8059770586490""]",SHELL HOODED SUIT,SAVE THE DUCK,green,I30002X-LUCK19,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],,CHINA,SHORT PUFFER,breficom,kid_unisex,,,,,,100% NYLON LINING 100% NYLON PADDING 100% POLYESTER,UNISEX CLOTHING,,2024,,,,,,,SHELL HOODED SUIT,,,,,,,,5,false,0
J32310G-GIGA19.70014,J32310G-GIGA19.70014,"[""8059770714565"",""8059770714596"",""8059770750914"",""8059770750921""]",LILY HOODED JACKET,SAVE THE DUCK,red,J32310G-GIGA19,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],,CHINA,SHORT PUFFER,breficom,girl,,,,,,100% NYLON LINING 100% NYLON PADDING 100% POLYESTER,GIRL CLOTHING,,2024,,,,,,,LILY HOODED JACKET,,,,,,,,5,false,0
J32310G-GIGA19.00002,J32310G-GIGA19.00002,"[""8059770706775"",""8059770706812"",""8059770706850""]",LILY HOODED JACKET,SAVE THE DUCK,white,J32310G-GIGA19,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],,CHINA,SHORT PUFFER,breficom,girl,,,,,,100% NYLON LINING 100% NYLON PADDING 100% POLYESTER,GIRL CLOTHING,,2024,,,,,,,LILY HOODED JACKET,,,,,,,,5,false,0
OBAA002S26JER007.100,OBAA002S26JER007.100,"[""1200189586022"",""1200189586077"",""1200189586084""]",OW MULTILOGO TEE S-S,OFF WHITE,white,OBAA002S26JER007,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,SHORT SLEEVES T-SHIRT,breficom,boy,,,,,,100%  COTTON,BOY CLOTHING,,2026,,,,,,,OW MULTILOGO TEE S/S,,,,,,,,4,false,0
OGYC004S26DEN001.452,OGYC004S26DEN001.452,"[""1200189863147"",""1200189863154"",""1200189863161""]",BOOKISH DENIM SHORT,OFF WHITE,blue,OGYC004S26DEN001,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,BERMUDA SHORT,breficom,girl,,,,,,100%  COTTON,GIRL CLOTHING,,2026,,,,,,,BOOKISH DENIM SHORT,,,,,,,,4,false,0
OBIA013F25FAB001.0110,OBIA013F25FAB001.0110,"[""8055266298250"",""8055266298267"",""8055266298274""]",FOR JUMPING WHITE - BLACK,OFF WHITE,black,OBIA013F25FAB001,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],,CHINA,KID SNEAKER,breficom,boy,,,,,,38% POLYESTER 62% POLYURETHANE LINING 100% POLYESTER SOLE 100% RUBBER,BOY SHOES,,2025,,,,,,,FOR JUMPING WHITE - BLACK,,,,,,,,5,false,0
OBAA002S26JER005.100,OBAA002S26JER005.100,"[""1200189577266"",""1200189577310"",""1200189577327""]",ARROW SKETCH TEE S-S,OFF WHITE,white,OBAA002S26JER005,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,SHORT SLEEVES T-SHIRT,breficom,boy,,,,,,100%  COTTON,BOY CLOTHING,,2026,,,,,,,ARROW SKETCH TEE S/S,,,,,,,,4,false,0
OBAA002S26JER009.001,OBAA002S26JER009.001,"[""1200189590401"",""1200189590456"",""1200189590463""]",SCRIBBLE DIAG TEE S-S,OFF WHITE,black,OBAA002S26JER009,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,SHORT SLEEVES T-SHIRT,breficom,boy,,,,,,100%  COTTON,BOY CLOTHING,,2026,,,,,,,SCRIBBLE DIAG TEE S/S,,,,,,,,4,false,0
OBAA002S26JER006.110,OBAA002S26JER006.110,"[""1200189583106"",""1200189583151"",""1200189583168""]",ARROW PAINT TEE S-S,OFF WHITE,white,OBAA002S26JER006,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,SHORT SLEEVES T-SHIRT,breficom,boy,,,,,,100%  COTTON,BOY CLOTHING,,2026,,,,,,,ARROW PAINT TEE S/S,,,,,,,,4,false,0
OGBB002S26FLE001.001,OGBB002S26FLE001.001,"[""1200189719178"",""1200189719222"",""1200189719345""]",DIAG WATERCOLOR HOODIE,OFF WHITE,black,OGBB002S26FLE001,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,SWEATSHIRT,breficom,girl,,,,,,100%  COTTON,GIRL CLOTHING,,2026,,,,,,,DIAG WATERCOLOR HOODIE,,,,,,,,4,false,0
OGAA001S26JER002.100,OGAA001S26JER002.100,"[""1200189707922"",""1200189707977"",""1200189708097""]",ARROW BUTTERFLY TEE S-S,OFF WHITE,white,OGAA001S26JER002,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,SHIRT,breficom,girl,,,,,,100%  COTTON,GIRL CLOTHING,,2026,,,,,,,ARROW BUTTERFLY TEE S/S,,,,,,,,4,false,0
OGBA001S26FLE002.100,OGBA001S26FLE002.100,"[""1200189716672"",""1200189716726"",""1200189716849""]",ARROW BUTTERFLY CREWNECK,OFF WHITE,white,OGBA001S26FLE002,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,SWEATSHIRT,breficom,girl,,,,,,100%  COTTON,GIRL CLOTHING,,2026,,,,,,,ARROW BUTTERFLY CREWNECK,,,,,,,,4,false,0
OGAA001S26JER003.001,OGAA001S26JER003.001,"[""1200189709179"",""1200189709223"",""1200189709346""]",DIAG WATERCOLOR TEE S-S,OFF WHITE,black,OGAA001S26JER003,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,SHORT SLEEVES T-SHIRT,breficom,girl,,,,,,100%  COTTON,GIRL CLOTHING,,2026,,,,,,,DIAG WATERCOLOR TEE S/S,,,,,,,,4,false,0
OBAA002S26JER006.001,OBAA002S26JER006.001,"[""1200189580181"",""1200189580235"",""1200189580242""]",ARROW PAINT TEE S-S,OFF WHITE,black,OBAA002S26JER006,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,SHORT SLEEVES T-SHIRT,breficom,boy,,,,,,100%  COTTON,BOY CLOTHING,,2026,,,,,,,ARROW PAINT TEE S/S,,,,,,,,4,false,0
OBEA023F25FAB001.0718,OBEA023F25FAB001.0718,"[""8055266328216"",""8055266328223"",""8055266328230""]",TYPE LOGO TEDDY JACKET DARK GREY - YELLO,OFF WHITE,grey,OBEA023F25FAB001,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],,PORTUGAL,HEAVY JACKET,breficom,boy,,,,,,100% POLYESTER LINING 100% POLYAMIDE DETAILS 100% POLYAMIDE,BOY CLOTHING,,2025,,,,,,,TYPE LOGO TEDDY JACKET DARK GREY - YELLO,,,,,,,,5,false,0
OBIA008C99LEA002.0110,OBIA008C99LEA002.0110,"[""8051594978697"",""8051594978703"",""8051594978710""]",B-OUT OF OFFICE STRAPS-002,OFF WHITE,white,OBIA008C99LEA002,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,CHINA,KID SNEAKER,breficom,kid_unisex,,,,,,97% CALF LEATHER 13% RECYCLE POLYESTER SOLE 100% RUBBER LINING 85% RECYCLED POLYESTER 15% POLYESTER,UNISEX SHOES,,2026,,,,,,,B-OUT OF OFFICE STRAPS-002,,,,,,,,4,false,0
OBAA002S26JER007.001,OBAA002S26JER007.001,"[""1200189584561"",""1200189584615"",""1200189584622""]",OW MULTILOGO TEE S-S,OFF WHITE,black,OBAA002S26JER007,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,SHORT SLEEVES T-SHIRT,breficom,boy,,,,,,100%  COTTON,BOY CLOTHING,,2026,,,,,,,OW MULTILOGO TEE S/S,,,,,,,,4,false,0
OBCH001S26FLE001.001,OBCH001S26FLE001.001,"[""1200189651720"",""1200189651775"",""1200189651782""]",BOOKISH DIAG SWEATPANT,OFF WHITE,black,OBCH001S26FLE001,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,PANTS,breficom,boy,,,,,,100%  COTTON,BOY CLOTHING,,2026,,,,,,,BOOKISH DIAG SWEATPANT,,,,,,,,4,false,0
OBBB001S26FLE005.001,OBBB001S26FLE005.001,"[""1200189628364"",""1200189628418"",""1200189628425""]",DIAG PAINT HOODIE,OFF WHITE,black,OBBB001S26FLE005,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,PORTUGAL,SWEATSHIRT,breficom,boy,,,,,,100%  COTTON,BOY CLOTHING,,2026,,,,,,,DIAG PAINT HOODIE,,,,,,,,4,false,0
