product_name,sku,brand,category,code,model,color,department,department_original,description_eng,errors,feed_name,gtin,images,made_in,materials,season,year
HAT,3878023,BALLY,HATS,MCC00Z SH007 U901,,NERO,female,DONNA,HAT,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,FW23,2023
LEATHER COAT,3884533,SALVATORE SANTORO,TRENCH & COATS,46032D T0RT0RA,,BEIGE,female,DONNA,LEATHER COAT,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,SS24,2024
ALEXIA H-R CROP CIGARETTE JEANS,3891713,L'AGENCE,JEANS,2756PDD/A RYE,,SUGHERO,female,DONNA,ALEXIA H/R CROP CIGARETTE JEANS,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,SS24,2024
DENIM JACKET,3887683,FRAME,JACKETS & PADDED OUTERWEAR,WS24DJA011 S0NATA,,,female,DONNA,DENIM JACKET,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,SS24,2024
JACKET,3884943,TAGLIATORE,BLAZERS,JC0RAL1EK A1266,,,female,DONNA,JACKET,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,SS24,2024
LOGO TOP,3885583,PALM ANGELS,T-SHIRTS & TOPS,PWV0024S24FAB0 01    1001,,NERO,female,DONNA,LOGO TOP,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}]",loschi,[],[],ITALY,,SS24,2024
SKIRT,3891893,ERMANNO SCERVINO,SKIRTS,D4440603GXV 10601,,,female,DONNA,SKIRT,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}]",loschi,[],[],ITALY,,SS24,2024
JACKET,3885133,TAGLIATORE,BLAZERS,JC0RAL1EK EX840,,,female,DONNA,JACKET,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,SS24,2024
CARLY JEANS,3887813,PAIGE,JEANS,8566G29 3212 W3212,,BEIGE,female,DONNA,CARLY JEANS,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}]",loschi,[],[],CHINA,,SS24,2024
SHIRT,3894673,GLANSHIRT,SHIRTS,52S290 L6575 001,,,female,DONNA,SHIRT,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,SS24,2024
KIMONO,3894783,ZANONE,SHIRTS,853009 ZG480 Z0015,,,female,DONNA,KIMONO,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}]",loschi,[],[],ITALY,,SS24,2024
